ref_pmid,ref_nct_number,ref_primary_nct_number,ref_primary_nct_source,ref_is_pubmed_clinical_trial,ref_publication_types,ref_nct_source,ref_is_primary_nct_for_pmid,ref_nct_order_in_pmid
19332456,NCT00240331,NCT00240331,databank,True,Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
19364977,NCT00000479,NCT00000479,databank,False,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
19414832,NCT00150943,NCT00150943,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
19446324,NCT00322010,NCT00322010,databank,True,Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
19679246,NCT00209274,NCT00209274,databank,True,"Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't",databank,True,1
19679246,NCT00209339,NCT00209274,databank,True,"Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't",databank,False,2
19683638,NCT00421863,NCT00421863,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
19789403,NCT00343902,NCT00343902,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
19843000,NCT00141310,NCT00141310,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
19843914,NCT00279981,NCT00279981,databank,True,"Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't",databank,True,1
19853510,NCT00098475,NCT00098475,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S.",databank,True,1
19922995,NCT00090259,NCT00090259,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
19948506,NCT00125320,NCT00125320,databank,True,"Clinical Trial, Phase III;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
20116842,NCT00466492,NCT00466492,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
20228401,NCT00000620,NCT00000620,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",databank,True,1
20435865,NCT00514826,NCT00514826,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
20439601,NCT00501982,NCT00501982,databank,True,"Clinical Trial, Phase IV;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
20472939,NCT00233324,NCT00233324,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
20505173,NCT00004732,NCT00004732,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
20554319,NCT00375258,NCT00375258,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
20733093,NCT00511511,NCT00511511,databank,True,"Clinical Trial;Journal Article;Research Support, Non-U.S. Gov't",databank,True,1
20818875,NCT01038271,NCT01038271,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
20852060,NCT01113840,NCT01113840,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
20940381,NCT01021631,NCT01021631,databank,True,Journal Article;Randomized Controlled Trial,databank,True,1
20971744,NCT00257309,NCT00257309,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
21245868,NCT00062426,NCT00062426,databank,True,"Clinical Trial, Phase III;Journal Article",databank,True,1
21245868,NCT00806923,NCT00062426,databank,True,"Clinical Trial, Phase III;Journal Article",databank,False,2
21262997,NCT00618670,NCT00618670,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
21296838,NCT00539539,NCT00539539,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.",databank,True,1
21339436,NCT00164034,NCT00164034,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
21366473,NCT00000620,NCT00000620,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, P.H.S.",databank,True,1
21386066,NCT01191736,NCT01191736,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
21518942,NCT00110227,NCT00110227,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
21570522,NCT00149409,NCT00149409,databank,True,"Clinical Trial, Phase III;Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
21571150,NCT00006400,NCT00006400,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
21592347,NCT01106456,NCT01106456,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
21663949,NCT00125593,NCT00125593,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
21673005,NCT00000479,NCT00000479,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
21830957,NCT00403767,NCT00403767,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
21873560,NCT00611988,NCT00611988,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
21939822,NCT00468325,NCT00468325,databank,True,Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
22025591,NCT00244101,NCT00244101,databank,True,Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
22032709,NCT00000556,NCT00000556,databank,False,Comparative Study;Journal Article,databank,True,1
22057652,NCT00770107,NCT00770107,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22080629,NCT01260441,NCT01260441,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22089242,NCT01245296,NCT01245296,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22090168,NCT00132743,NCT00132743,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
22096242,NCT00072761,NCT00072761,databank,True,"Clinical Trial;Journal Article;Multicenter Study;Research Support, N.I.H., Extramural",databank,True,1
22149876,NCT00863655,NCT00863655,databank,True,"Clinical Trial, Phase III;Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22168590,NCT00071032,NCT00071032,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
22356799,NCT00778986,NCT00778986,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22436955,NCT00479661,NCT00479661,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22436955,NCT00481312,NCT00479661,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,False,2
22438520,NCT00000479,NCT00000479,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
22443478,NCT00530894,NCT00530894,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22449295,NCT00933400,NCT00933400,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22453654,NCT00753259,NCT00753259,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22453654,NCT00391872,NCT00753259,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,False,2
22496116,NCT01077037,NCT01077037,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22551105,NCT00041938,NCT00041938,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
22553307,NCT00023595,NCT00023595,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
22830462,NCT01084239,NCT01084239,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
22843787,NCT00005391,NCT00005391,databank,True,"Clinical Trial;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
22920912,NCT00491036,NCT00491036,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22931315,NCT00059306,NCT00059306,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
22991347,NCT00391872,NCT00391872,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
22995877,NCT00510185,NCT00510185,databank,True,Comparative Study;Journal Article;Randomized Controlled Trial,databank,True,1
22995885,NCT00530894,NCT00530894,databank,True,Clinical Trial;Journal Article,databank,True,1
23117775,NCT00270647,NCT00270647,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
23136163,NCT00413998,NCT00413998,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
23172931,NCT00582777,NCT00582777,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
23232895,NCT00928655,NCT00928655,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
23250992,NCT01596036,NCT01596036,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
23265344,NCT00597220,NCT00597220,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
23375926,NCT00798356,NCT00798356,databank,True,"Clinical Trial;Journal Article;Research Support, Non-U.S. Gov't",databank,True,1
23477657,NCT00719667,NCT00719667,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
23500298,NCT00403767,NCT00403767,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
23517839,NCT01094678,NCT01094678,databank,True,Clinical Trial;Journal Article;Multicenter Study,databank,True,1
23644082,NCT01737528,NCT01737528,databank,False,"Journal Article;Research Support, Non-U.S. Gov't",databank,True,1
23659733,NCT00800137,NCT00800137,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
23665364,NCT00209274,NCT00209274,databank,True,Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
23692173,NCT00560859,NCT00560859,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
23796131,NCT00017953,NCT00017953,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, N.I.H., Intramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, U.S. Gov't, P.H.S.",databank,True,1
23803136,NCT00979589,NCT00979589,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
23821089,NCT00693940,NCT00693940,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, N.I.H., Intramural",databank,True,1
23850908,NCT01380574,NCT01380574,databank,True,"Clinical Trial;Journal Article;Research Support, Non-U.S. Gov't",databank,True,1
23902482,NCT01282996,NCT01282996,databank,True,Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
23979082,NCT01604460,NCT01604460,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
23989115,NCT00665288,NCT00665288,databank,False,"Journal Article;Research Support, Non-U.S. Gov't",databank,True,1
23991656,NCT01093404,NCT01093404,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24019074,NCT01565161,NCT01565161,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, U.S. Gov't, P.H.S.",databank,True,1
24030420,NCT01350310,NCT01350310,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24108526,NCT01231698,NCT01231698,databank,True,"Clinical Trial, Phase II;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24148851,NCT01876173,NCT01876173,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24168957,NCT00576693,NCT00576693,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
24184249,NCT01687699,NCT01687699,databank,True,Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
24184254,NCT01931956,NCT01931956,databank,True,Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
24186563,NCT01305785,NCT01305785,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24190680,NCT01030107,NCT01030107,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24211508,NCT00412984,NCT00412984,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24222666,NCT01072500,NCT01072500,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, N.I.H., Intramural;Research Support, U.S. Gov't, Non-P.H.S.",databank,True,1
24226805,NCT01166997,NCT01166997,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24245566,NCT00081731,NCT00081731,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
24249049,NCT00094302,NCT00094302,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
24315521,NCT00143598,NCT00143598,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24315907,NCT01369186,NCT01369186,databank,True,Journal Article;Randomized Controlled Trial,databank,True,1
24398888,NCT00582114,NCT00582114,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
24433234,NCT00958607,NCT00958607,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24490264,NCT00044213,NCT00044213,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
24561146,NCT00005391,NCT00005391,databank,False,"Evaluation Study;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
24583305,NCT00597324,NCT00597324,databank,True,Clinical Trial;Journal Article,databank,True,1
24678939,NCT01418261,NCT01418261,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24679062,NCT01082874,NCT01082874,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24690329,NCT00443118,NCT00443118,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24829444,NCT01203605,NCT01203605,databank,False,"Journal Article;Research Support, Non-U.S. Gov't",databank,True,1
24843066,NCT01253733,NCT01253733,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
24881994,NCT01164371,NCT01164371,databank,True,"Clinical Trial;Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't",databank,True,1
24912899,NCT00045032,NCT00045032,databank,True,"Clinical Trial, Phase III;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
24958751,NCT00530894,NCT00530894,databank,True,Journal Article;Multicenter Study;Validation Study,databank,True,1
24963567,NCT00924638,NCT00924638,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25006185,NCT00000611,NCT00000611,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
25011722,NCT00209274,NCT00209274,databank,True,Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
25117135,NCT01380574,NCT01380574,databank,False,"Journal Article;Research Support, Non-U.S. Gov't",databank,True,1
25125300,NCT01084239,NCT01084239,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
25140956,NCT00072761,NCT00072761,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, American Recovery and Reinvestment Act;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
25142708,NCT00430989,NCT00430989,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25172965,NCT01552187,NCT01552187,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25176015,NCT01035255,NCT01035255,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25182247,NCT01674647,NCT01674647,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25237048,NCT00618670,NCT00618670,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
25270275,NCT01485315,NCT01485315,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25277614,NCT01235130,NCT01235130,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25342738,NCT01418248,NCT01418248,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25401325,NCT00225849,NCT00225849,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25465932,NCT00552084,NCT00552084,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
25472980,NCT01175850,NCT01175850,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25472980,NCT01566461,NCT01175850,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,False,2
25474490,NCT00560859,NCT00560859,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
25499165,NCT00071032,NCT00071032,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
25531167,NCT02075450,NCT02075450,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
25543971,NCT00319982,NCT00319982,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
25628469,NCT01093196,NCT01093196,databank,False,Journal Article,databank,True,1
25628469,NCT01190787,NCT01093196,databank,False,Journal Article,databank,False,2
25628469,NCT01346787,NCT01093196,databank,False,Journal Article,databank,False,3
25628469,NCT01093136,NCT01093196,databank,False,Journal Article,databank,False,4
25631070,NCT01570777,NCT01570777,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25647203,NCT01545232,NCT01545232,databank,True,"Clinical Trial, Phase III;Journal Article;Multicenter Study;Pragmatic Clinical Trial;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
25654175,NCT00683683,NCT00683683,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25671798,NCT01778335,NCT01778335,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25711274,NCT00979199,NCT00979199,databank,True,"Comparative Study;Journal Article;Multicenter Study;Pragmatic Clinical Trial;Research Support, Non-U.S. Gov't",databank,True,1
25727057,NCT02231151,NCT02231151,databank,True,Clinical Trial;Journal Article,databank,True,1
25737484,NCT01665521,NCT01665521,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
25753362,NCT02219815,NCT02219815,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25773919,NCT01174550,NCT01174550,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
25791214,NCT01433627,NCT01433627,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25820680,NCT01374867,NCT01374867,databank,True,"Journal Article;Multicenter Study;Observational Study;Research Support, Non-U.S. Gov't",databank,True,1
25824248,NCT01656096,NCT01656096,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25857307,NCT01418248,NCT01418248,databank,True,"Controlled Clinical Trial;Journal Article;Research Support, Non-U.S. Gov't",databank,True,1
25869350,NCT01344434,NCT01344434,databank,True,"Comparative Study;Journal Article;Multicenter Study;Observational Study;Research Support, Non-U.S. Gov't",databank,True,1
25882376,NCT01657461,NCT01657461,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25882510,NCT01692379,NCT01692379,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25895588,NCT01830530,NCT01830530,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25957224,NCT00979589,NCT00979589,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
25965712,NCT01165710,NCT01165710,databank,True,"Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't",databank,True,1
