guideline_pmid,citations_in_scenario,avg_sex_score,max_sex_score,citations_with_sex,cites_sex_differences,cites_sex_stratification,cites_sex_subgroup,sex_snippets_count,sex_evidence_snippets,exclusion_snippets_count,exclusion_evidence_snippets,pct_citing_sex,scenario_id,category
34315230,48.0,0.96,3.0,32.0,5.0,0.0,0.0,5.0,"[ABSTRACT] c whites. these data suggest intrinsic ethnic and gender differences in abi. such differences, although small in magni || [ABSTRACT] h special attention to critical limb ischemia and sex differences. an age-standardized randomly selected population || [ABSTRACT] 7.3). pad prevalence and incidence did not differ by sex alone. this study provides comprehensive estimate || [ABSTRACT] this study sought to examine sex-related differences in outcomes related to peripheral vascular intervention (pvi) procedures. percutaneous pvi is frequently performed for the treatment of peripheral arterial disease (pad). however, little is known about sex-related differences related to pvi procedures. we assessed the impact of sex among 12,379 patients (41% female) who underwent lower extremity (le)...[truncated]",0.0,,66.7,S2_PubMed_OR_NCT,Weak
34404224,15.0,0.53,1.0,8.0,0.0,0.0,0.0,0.0,,0.0,,53.3,S2_PubMed_OR_NCT,Weak
34407637,4.0,0.75,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,,75.0,S2_PubMed_OR_NCT,Weak
34496612,14.0,0.43,2.0,4.0,0.0,0.0,0.0,0.0,,0.0,,28.6,S2_PubMed_OR_NCT,Weak
34632822,8.0,0.25,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,,12.5,S2_PubMed_OR_NCT,Weak
35306832,24.0,0.21,2.0,4.0,0.0,0.0,0.0,0.0,,0.0,,16.7,S2_PubMed_OR_NCT,Weak
35708012,13.0,0.62,2.0,5.0,1.0,0.0,0.0,1.0,"[ABSTRACT] clusion, and to define its associations with age, gender, race, and other potential risk factors among participants in the cardiovascular health study (chs). the chs is a multicenter, longitudinal cohort study of cardiovascular disease risk factors, morbidity, and mortality among free-living adults of more than 65 years of age. as part of an ancillary investigation, participants in the forsyth county cohort of the chs were invited to undergo renal duplex sonography (rds) to define the presence or absence of rvd. rvd was defined as stenosis with a focal renal artery peak systolic velocity exceeding 1.8 m/s in the main renal artery and defined as occlusion when an imaged renal artery lacked a doppler signal. demographic and atherosclerotic risk factor data were gathered as part of...[truncated]",0.0,,38.5,S2_PubMed_OR_NCT,Weak
36043414,10.0,0.4,2.0,3.0,0.0,0.0,0.0,0.0,,0.0,,30.0,S2_PubMed_OR_NCT,Weak
36055903,6.0,0.33,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,,33.3,S2_PubMed_OR_NCT,Weak
36252095,34.0,0.82,3.0,17.0,0.0,0.0,0.0,0.0,,2.0,"ears
* women of child-bearing potential without a negative pregnancy test
* inclusion in another study
* heart rate above 7 || e subjects of child-bearing potential must have a negative pregnancy test done within 7 days prior to the index procedure p",50.0,S2_PubMed_OR_NCT,Weak
36307329,14.0,0.79,2.0,9.0,0.0,0.0,0.0,0.0,,0.0,,64.3,S2_PubMed_OR_NCT,Weak
36475715,76.0,0.43,5.0,18.0,2.0,0.0,2.0,0.0,,0.0,,23.7,S2_PubMed_OR_NCT,Weak
36633003,24.0,0.46,2.0,9.0,0.0,0.0,0.0,0.0,,0.0,,37.5,S2_PubMed_OR_NCT,Weak
36912134,69.0,0.65,3.0,28.0,2.0,0.0,0.0,2.0,"[ABSTRACT] attack, vascular disease, age 65-74 years, female sex) score greater than or equal to 4 or greater than or equal to 2 with risk factors for poaf, no history of preoperative af, and poaf lasting less than 24 hours during hospitalization were enrolled. the intervention group underwent continuous cardiac rhythm monitoring with wearable, patch-based monitors for 30 days after randomization. monitoring was not mandated in the usual care group within 30 days after randomization. the primary outcome was cumulative af and/or atrial flutter lasting 6 minutes or longer detected by continuous cardiac rhythm monitoring or by a 12-lead electrocardiogram within 30 days of randomization. prespecified secondary outcomes included cumulative af lasting 6 hours or longer and 24 hours or longer wit...[truncated]",0.0,,40.6,S2_PubMed_OR_NCT,Weak
37092336,30.0,0.6,2.0,10.0,0.0,0.0,0.0,0.0,,0.0,,33.3,S2_PubMed_OR_NCT,Weak
37288568,46.0,0.61,2.0,20.0,1.0,0.0,0.0,1.0,"[ABSTRACT] e of birth, date of admission, date of discharge, sex, and center. likely matches were defined as an exact match for all variables except ±1 day for one of the date variables. of 45,830 sts-chs records, 87.4% matched to phis using the exact match criteria and 90.3% using the exact or likely match criteria. validation in a subset of patients revealed that 100% of exact and likely matches were true matches. this analysis demonstrates that indirect identifiers can be use",1.0,* females of child-bearing potential must have a negative pregnancy test because of the potentially dangerous effects on t,43.5,S2_PubMed_OR_NCT,Weak
38047353,28.0,0.71,2.0,15.0,0.0,0.0,0.0,0.0,,2.0,"of childbearing potential are required to have a negative pregnancy test within 7 days prior to device procedure
* partici || of childbearing potential are required to have a negative pregnancy test within 7 days prior to device procedure
* partici",53.6,S2_PubMed_OR_NCT,Weak
38314551,11.0,0.45,2.0,3.0,0.0,0.0,0.0,0.0,,1.0,"r exclusion should be the use of hcq in the first pregnancy in which chb occurred. while one could argue that in these mothers hcq was not effective and perhaps will not be again, this assumption remains speculative and thus prior absence of efficacy of hcq will not constitute an exclusion criteria. recurrence of advanced heart block prol",27.3,S2_PubMed_OR_NCT,Weak
38406869,18.0,0.39,2.0,6.0,0.0,0.0,0.0,0.0,,0.0,,33.3,S2_PubMed_OR_NCT,Weak
38415358,12.0,0.83,2.0,8.0,0.0,0.0,0.0,0.0,,0.0,,66.7,S2_PubMed_OR_NCT,Weak
38567497,17.0,0.71,2.0,11.0,0.0,0.0,0.0,0.0,,0.0,,64.7,S2_PubMed_OR_NCT,Weak
38634276,8.0,0.25,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,,12.5,S2_PubMed_OR_NCT,Weak
38736080,8.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,,0.0,,25.0,S2_PubMed_OR_NCT,Weak
38779844,7.0,0.57,2.0,3.0,0.0,0.0,0.0,0.0,,0.0,,42.9,S2_PubMed_OR_NCT,Weak
38804130,8.0,0.75,2.0,4.0,0.0,0.0,0.0,0.0,,0.0,,50.0,S2_PubMed_OR_NCT,Weak
39315436,11.0,0.64,4.0,4.0,1.0,0.0,0.0,1.0,"[REGISTRY] percentage estimates to dxa references classified by sex evaluation of the accuracy of a computer vision-b | [ABSTRACT] 134 healthy adults ranging in age (21-76 years), sex (61.2% women), race (60.4% white; 23.9% black), and body mass index (bmi, 18.5-51.6 kg/m<sup>2</sup>) were evaluated at two clinical sites (n = 64 at mgh, n = 70 at pbrc). each participant had %bf measured with vbc, three consumer and two professional bioimpedance analysis (bia) systems. the pbrc participants also had air displacement plethysmography (adp) measured. %bf measured by dual-energy x-ray absorptiometry (dxa) was set as the reference against which all other %bf measurements were compared. to test our scientific hypothesis we run multiple, pair-wise wilcoxon signed rank tests where we compare each c...[truncated]",0.0,,36.4,S2_PubMed_OR_NCT,Weak
39429201,139.0,0.93,6.0,77.0,6.0,2.0,0.0,4.0,"[ABSTRACT] ation scheme with block sizes of four, stratified by sex and site. allocation was concealed from all but t | [ABSTRACT] on scheme with block sizes of four, stratified by sex and site. allocation was concealed from all but the pharmacists and statisticians. participants were assigned in a 1:1 ratio to low-dose (10 mg/kg per day) or moderate-dose (20 mg/kg per day) oral hydroxyurea taken once daily with monthly clinical evaluation and laboratory monitoring. the primary outcome was initial stroke or transient ischaemic attack, centrally adjudicated. the secondary outcome was all-cause hospitalisation. we used the intention-to-treat population for data analysis. the trial was stopped early for futility after a || [ABSTRACT] = 200) for 12 weeks. randomization was stratified by sex an...[truncated]",5.0,"* females of child-bearing potential must have a negative pregnancy test at enrollment
* persons who are currently taking || of childbearing potential are required to have a negative pregnancy test prior to enrollment)
* active enrollment in other || myocardial infarction
* female patient is either not of childbearing potential, defined as postmenopausal for at least one year",55.4,S2_PubMed_OR_NCT,Weak
39676661,14.0,0.86,2.0,9.0,0.0,0.0,0.0,0.0,,0.0,,64.3,S2_PubMed_OR_NCT,Weak
39782908,6.0,0.5,3.0,1.0,1.0,0.0,0.0,1.0,[ABSTRACT] eart diseases (chd) with that of age-adjusted and gender-adjusted controls. we also intended to identify clinical characteristics associated with maximum oxygen uptake (vo<sub>2max</sub>) in this population. we included in a cross-sectional multicentre study a total of 798 children (496 chd and 302 controls) who underwent a complete cardiopulmonary exercise test (cpet). the association of clinical characteristics with vo<sub>2max</sub> was studied using a multivariate analysis. mean vo<sub>2max</sub> in the chd group and cont,0.0,,16.7,S2_PubMed_OR_NCT,Weak
40373524,20.0,0.95,4.0,14.0,0.0,0.0,0.0,0.0,,0.0,,70.0,S2_PubMed_OR_NCT,Weak
40526054,14.0,0.79,2.0,7.0,0.0,0.0,0.0,0.0,,0.0,,50.0,S2_PubMed_OR_NCT,Weak
40966736,7.0,0.86,2.0,4.0,0.0,0.0,0.0,0.0,,0.0,,57.1,S2_PubMed_OR_NCT,Weak
41122889,110.0,0.29,2.0,22.0,0.0,0.0,0.0,0.0,,0.0,,20.0,S2_PubMed_OR_NCT,Weak
